cols from HT,Crosswalk to HT document,Use?,Question in Crunch,Category,Question,Short name,Include,Grouping Required,l1,l2,r1,r2,Col to show,Y-axis Label,Title,Results,Result notes
pew_religimp,pew_religimp,,Importance of religion (Pew version),,How important is religion in your life?,pew_religimp,Include,Yes,1,2,3,4,1,% Somewhat or Very Important,How important is religion in your life?,,
retrospective_pers,#N/A,,Retrospective - You personally,,"Taking all things together, are things better, about the same, or worse than a year ago for you personally?",retrospective_pers,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for you personally?",,
retrospective_fam,#N/A,,Retrospective - Your family,,"Taking all things together, are things better, about the same, or worse than a year ago for your family?",retrospective_fam,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for your family?",,
retrospective_soc,#N/A,,Retrospective - American society,,"Taking all things together, are things better, about the same, or worse than a year ago for American society?",retrospective_soc,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for American society?",,
retrospective_econ,#N/A,,Retrospective - American economy,,"Taking all things together, are things better, about the same, or worse than a year ago for American economy?",retrospective_econ,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for American economy?",,
prospective_pers,#N/A,,Prospective - You personally,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for you personally?",prospective_pers,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for you personally?",,
prospective_fam,#N/A,,Prospective - Your family,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for your family?",prospective_fam,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for your family?",,
prospective_soc,#N/A,,Prospective - American society,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American society?",prospective_soc,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American society?",,
prospective_econ,#N/A,,Prospective - American economy,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American economy?",prospective_econ,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American economy?",,
poli_attitude,poli_attitude,,Emotional disposition towards country,,How would you describe your attitude towards US politics today? ,poli_attitude,Include,Yes,1,2,3,4,1,% Somewhat or Very Optimistic,How would you describe your attitude towards US politics today? ,,
feelings_Amer_angry,#N/A,,Feelings toward America - Angry,,How well do the following words describe your feelings toward America today? - Angry,feelings_Amer_angry,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Angry,,
feelings_Amer_scared,#N/A,,Feelings toward America - Scared,,How well do the following words describe your feelings toward America today? - Scared,feelings_Amer_scared,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Scared,,
feelings_Amer_frust,#N/A,,Feelings toward America - Frustrated,,How well do the following words describe your feelings toward America today? - Frustrated,feelings_Amer_frust,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Frustrated,,
feelings_Amer_disill,#N/A,,Feelings toward America - Disillusioned,,How well do the following words describe your feelings toward America today? - Disillusioned,feelings_Amer_disill,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Disillusioned,,
feelings_Amer_hope,#N/A,,Feelings toward America - Hopeful,,How well do the following words describe your feelings toward America today? - Hopeful,feelings_Amer_hope,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Hopeful,,
feelings_Amer_excited,#N/A,,Feelings toward America - Excited,,How well do the following words describe your feelings toward America today? - Excited,feelings_Amer_excited,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Excited,,
feelings_Amer_conf,#N/A,,Feelings toward America - Confident,,How well do the following words describe your feelings toward America today? - Confident,feelings_Amer_conf,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Confident,,
self_effic,self_effic,,Self Efficacy,,Which do you agree with more?,self_effic,Include,No,,,,,2,% Politicians don't care about people like me,Which do you agree with more? Politicians don't care about people like me vs People like me have a say in politics,,
rigged,rigged,,Rigged system,,Which do you agree with more?,rigged,Include,No,,,,,1,% The American government is mostly rigged to serve the rich and influential,Which do you agree with more? The American government mostly reflects the will of the American people vs The American government is mostly rigged to serve the rich and influential,,
stranger,stranger,,Stranger in my own land,,Which do you agree with more?,stranger,Include,No,,,,,1,% American identity is disappearing nowadays,Which do you agree with more? American identity is disappearing nowadays vs American identity is being strengthened through diversity,,
community_part,community_part,,Part of a community,,"Do you agree or disagree with the following statement: I am part of a community - people who understand each other, care about each other, and help each other",community_part,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,"Do you agree or disagree with the following statement: I am part of a community - people who understand each other, care about each other, and help each other",,
depend_others,depend_others,,Can't depend on others,,Do you agree or disagree with the following statement: I can't depend much on other people - I face most things in life on my own,depend_others,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Do you agree or disagree with the following statement: I can't depend much on other people - I face most things in life on my own,,
sense_home,sense_home,,Sense of home,,Do you agree or disagree with the following statement: I have a strong sense of home - a place where I belong,sense_home,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Do you agree or disagree with the following statement: I have a strong sense of home - a place where I belong,,
live_place,live_place,,Community or private life,,Which do you agree with more?,live_place,Include,No,,,,,2,% I prefer to lead a private life.,Which do you agree with more? I prefer to lead a private life. vs It's important to me to live in a place where people get to know each other,,
solidarity,solidarity,,Solidarity,,Which do you agree with more?,solidarity,Include,No,,,,,2,% It's everyone for themselves,Which do you agree with more? It's everyone for themselves vs We're all in it together,,
stranger_country,stranger_country,,Stranger in own country,,Do you agree or disagree with the following statement: Sometimes I feel like a stranger in my own country,stranger_country,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Do you agree or disagree with the following statement: Sometimes I feel like a stranger in my own country,,
count_people,count_people,,Can't count on people,,Do you agree or disagree with the following statement:I feel like we can't count on the people around as much as we used to,count_people,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Do you agree or disagree with the following statement:I feel like we can't count on the people around as much as we used to,,
moral_1,moral_1,,Moral Foundations Theory -- Compassion for those who are suffering is the most important virtue in a person.,,Compassion for those who are suffering is the most important virtue in a person.,moral_1,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Compassion for those who are suffering is the most important virtue in a person.,,
moral_2,moral_2,,"Moral Foundations Theory -- When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",moral_2,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.",,
moral_3,moral_3,,Moral Foundations Theory -- I am proud of my country's history.,,I am proud of my country’s history.,moral_3,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,I am proud of my country’s history.,,
moral_4,moral_4,,Moral Foundations Theory -- Respect for authority is something all children need to learn.,,Respect for authority is something all children need to learn.,moral_4,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Respect for authority is something all children need to learn.,,
moral_5,moral_5,,"Moral Foundations Theory -- People should not do things that are disgusting, even if no one is harmed.",,"People should not do things that are disgusting, even if no one is harmed.",moral_5,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,"People should not do things that are disgusting, even if no one is harmed.",,
moral_6,moral_6,,Moral Foundations Theory -- One of the worst things a person could do is hurt a defenseless animal.,,One of the worst things a person could do is hurt a defenceless animal.,moral_6,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,One of the worst things a person could do is hurt a defenceless animal.,,
moral_7,moral_7,,Moral Foundations Theory -- Justice is the most important requirement for a society.,,Justice is the most important requirement for a society.,moral_7,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Justice is the most important requirement for a society.,,
moral_8,moral_8,,"Moral Foundations Theory -- People should be loyal to their family members, even when they have done something wrong.",,"People should be loyal to their family members, even when they have done something wrong.  ",moral_8,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,"People should be loyal to their family members, even when they have done something wrong.  ",,
moral_9,moral_9,,Moral Foundations Theory -- Men and women each have different roles to play in society.,,Men and women each have different roles to play in society.,moral_9,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Men and women each have different roles to play in society.,,
moral_10,moral_10,,Moral Foundations Theory -- I would call some acts wrong on the grounds that they are unnatural.,,I would call some acts wrong on the grounds that they are unnatural.,moral_10,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,I would call some acts wrong on the grounds that they are unnatural.,,
moral_11,moral_11,,"Moral Foundations Theory -- Everyone should get to live the lifestyle they want, so long as it doesn't harm others.",,"Everyone should get to live the lifestyle they want, so long as it doesn’t harm others.",moral_11,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,"Everyone should get to live the lifestyle they want, so long as it doesn’t harm others.",,
moral_12,moral_12,,Moral Foundations Theory -- It is acceptable for the government to limit rights when there is a threat to public order.,,It is acceptable for the government to limit rights when there is a threat to public order.,moral_12,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,It is acceptable for the government to limit rights when there is a threat to public order.,,
moral_13,moral_13,,Moral Foundations Theory -- Self-reliance is one of the most important virtues.,,Self-reliance is one of the most important virtues.,moral_13,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Self-reliance is one of the most important virtues.,,
moral_14,moral_14,,Moral Foundations Theory -- People should strive to never be a burden on their family and friends.,,People should strive to never be a burden on their family and friends.,moral_14,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,People should strive to never be a burden on their family and friends.,,
moral_15,moral_15,,Moral Foundations Theory -- Speaking hard truths is the highest virtue.,,Speaking hard truths is the highest virtue.,moral_15,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Speaking hard truths is the highest virtue.,,
moral_16,moral_16,,"Moral Foundations Theory -- There is no excuse for lying, even if makes someone feel better.",,"There is no excuse for lying, even if makes someone feel better.",moral_16,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,"There is no excuse for lying, even if makes someone feel better.",,
moral_17,moral_17,,Moral Foundations Theory -- Recognizing your privileges is one of the most important virtues.,,Recognizing your privileges is one of the most important virtues.,moral_17,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Recognizing your privileges is one of the most important virtues.,,
moral_18,moral_18,,Moral Foundations Theory -- People who don't recognize their own advantages in life disgust me.,,People who don't recognize their own advantages in life disgust me.,moral_18,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,People who don't recognize their own advantages in life disgust me.,,
lr_ideo_1,lr_ideo_1,,Scale of government,,Which statement do you agree with more?,lr_ideo_1,Include,No,,,,,1,% Government should take more responsibility to ensure that everyone is provided for,Which statement do you agree with more? Government should take more responsibility to ensure that everyone is provided for vs People should take more responsibility to provide for themselves,,
lr_ideo_2,lr_ideo_2,,Agency and causality,,Which statement do you agree with more?,lr_ideo_2,Include,No,,,,,2,% People's outcomes in life are determined largely by forces outside of their control,Which statement do you agree with more? People's outcomes in life are determined largely by forces outside of their control vs People are largely responsible for their own outcomes in life,,
lr_ideo_3,lr_ideo_3,,Left-right ideology 3,,How much control do you feel most people have over the way their life turns out? ,lr_ideo_3,Include,No,,,,,2,% Some people’s situations are so challenging that no amount of work will allow them to find success,How much control do you feel most people have over the way their life turns out? Some people’s situations are so challenging that no amount of work will allow them to find success vs People who work hard can find success no matter what situation they were born into ,,
lr_ideo_4,lr_ideo_4,,Left-right ideology 4,,Which of the following played a greater role in getting you where you are today?,lr_ideo_4,Include,No,,,,,2,% Luck and circumstance,Which of the following played a greater role in getting you where you are today? Luck and circumstance vs Hard work and effort,,
lr_ideo_5,lr_ideo_5,,Left-right ideology 5,,When people commit crimes or acts of violence it is usually because…,lr_ideo_5,Include,No,,,,,2,% they are in difficult or unfair circumstances,When people commit crimes or acts of violence it is usually because… they are hateful or ignorant vs they are in difficult or unfair circumstances,,
auth_1,auth_1,,Authoritarianism: Independence vs. Respect for elders,,"For the following pair of traits, which one you think is more important for a child to have?",auth_1,Include,No,,,,,2,% Respect for elders,"For the following pair of traits, which one you think is more important for a child to have? Independence vs Respect for elders",,
auth_2,auth_2,,Authoritarianism: Obedience vs. Self-reliance,,"For the following pair of traits, which one you think is more important for a child to have?",auth_2,Include,No,,,,,1,% Obedience,"For the following pair of traits, which one you think is more important for a child to have? Obedience vs Self-reliance",,
auth_3,auth_3,,Authoritarianism: Well-behaved vs. Creative,,"For the following pair of traits, which one you think is more important for a child to have?",auth_3,Include,No,,,,,1,% Well-behaved,"For the following pair of traits, which one you think is more important for a child to have? Well-behaved vs Creative",,
auth_4,auth_4,,Authoritarianism: Curiosity vs. Good manners,,"For the following pair of traits, which one you think is more important for a child to have?",auth_4,Include,No,,,,,2,% Good manners,"For the following pair of traits, which one you think is more important for a child to have? Curiosity vs Good manners",,
trust_people,trust_people,,Can people be trusted,,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?",trust_people,Include,No,,,,,2,% You can't be too careful in dealing with people,"Generally speaking, would you say that most people can be trusted or that you can't be too careful in dealing with people?",,
leader_rules,leader_rules,,Agree - need strong leader willing to break rules,,"Do you agree or disagree with the following statement? To fix America, we need a strong leader who is willing to break the rules ",leader_rules,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,"Do you agree or disagree with the following statement? To fix America, we need a strong leader who is willing to break the rules ",,
threat,threat,,Perceived Threat,,Do you agree or disagree with the following statement? The world is becoming a more and more dangerous place.,threat,Include,Yes,1,3,4,6,2,% Slightly-Strongly Agree,Do you agree or disagree with the following statement? The world is becoming a more and more dangerous place.,,
imp_iden_1,#N/A,,Identity Importance - Being a $gender_pipe,,How important to you are each of the following parts of your identity? Your Gender,imp_iden_1,Include,Yes,1,4,5,7,2,% Important,How important to you are each of the following parts of your identity? Your Gender,,
imp_iden_2,#N/A,,Identity Importance - $race_pipe,,How important to you are each of the following parts of your identity? Your Race,imp_iden_2,Include,Yes,1,4,5,7,2,% Important,How important to you are each of the following parts of your identity? Your Race,,
imp_iden_3,#N/A,,Identity Importance - Being $party_pipe,,How important to you are each of the following parts of your identity? Your Political Party,imp_iden_3,Include,Yes,1,4,5,7,2,% Important,How important to you are each of the following parts of your identity? Your Political Party,,
imp_iden_4,#N/A,,Identity Importance - Being $ideo_pipe,,How important to you are each of the following parts of your identity? Your Political Identity,imp_iden_4,Include,Yes,1,4,5,7,2,% Important,How important to you are each of the following parts of your identity? Your Political Identity,,
imp_iden_5,#N/A,,Identity Importance - Being American,,How important to you are each of the following parts of your identity? Being American,imp_iden_5,Include,Yes,1,4,5,7,2,% Important,How important to you are each of the following parts of your identity? Being American,,
imp_iden_6,#N/A,,Identity Importance - Being $relig_pipe,,How important to you are each of the following parts of your identity? Your Religion,imp_iden_6,Include,Yes,1,4,5,7,2,% Important,How important to you are each of the following parts of your identity? Your Religion,,
satis_iden_1,#N/A,,Identity Satisfaction - a $gender_pipe,,I am proud to be [Gender],satis_iden_1,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I am proud to be [Gender],,
satis_iden_2,#N/A,,Identity Satisfaction - $race_pipe2,,I am proud to be [Race],satis_iden_2,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I am proud to be [Race],,
satis_iden_3,#N/A,,Identity Satisfaction - $party_pipe,,I am proud to be [Political Party],satis_iden_3,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I am proud to be [Political Party],,
satis_iden_4,#N/A,,Identity Satisfaction - $ideo_pipe,,I am proud to be [Political Identity],satis_iden_4,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I am proud to be [Political Identity],,
satis_iden_5,#N/A,,Identity Satisfaction - American,,I am proud to be [American],satis_iden_5,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I am proud to be [American],,
satis_iden_6,#N/A,,Identity Satisfaction - $relig_pipe,,I am proud to be [Religion],satis_iden_6,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I am proud to be [Religion],,
homog_iden_1,#N/A,,Identity In-group homogeneity -- $gender_pipe3 have a lot in common with each other.,,Chosen [Gender] have a lot in common with each other,homog_iden_1,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,Chosen [Gender] have a lot in common with each other,,
homog_iden_2,#N/A,,Identity In-group homogeneity -- $race_pipe3 have a lot in common with each other.,,Chosen [Race] have a lot in common with each other,homog_iden_2,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,Chosen [Race] have a lot in common with each other,,
homog_iden_3,#N/A,,Identity In-group homogeneity -- $party_pipe3 have a lot in common with each other.,,Chosen [Political Party] have a lot in common with each other,homog_iden_3,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,Chosen [Political Party] have a lot in common with each other,,
homog_iden_4,#N/A,,Identity In-group homogeneity -- $ideo_pipe3 have a lot in common with each other.,,Chosen [Political Identity] have a lot in common with each other,homog_iden_4,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,Chosen [Political Identity] have a lot in common with each other,,
homog_iden_5,#N/A,,Identity In-group homogeneity -- Americans have a lot in common with each other.,,Chosen [American] have a lot in common with each other,homog_iden_5,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,Chosen [American] have a lot in common with each other,,
homog_iden_6,#N/A,,Identity In-group homogeneity -- $relig_pipe3 have a lot in common with each other.,,Chosen [Religion] have a lot in common with each other,homog_iden_6,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,Chosen [Religion] have a lot in common with each other,,
cent_iden_1,#N/A,,Identity Centrality -- a $gender_pipe,,I often think about the fact that I am [Gender],cent_iden_1,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I often think about the fact that I am [Gender],,
cent_iden_2,#N/A,,Identity Centrality -- $race_pipe2,,I often think about the fact that I am [Race],cent_iden_2,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I often think about the fact that I am [Race],,
cent_iden_3,#N/A,,Identity Centrality -- $party_pipe,,I often think about the fact that I am [Political Party],cent_iden_3,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I often think about the fact that I am [Political Party],,
cent_iden_4,#N/A,,Identity Centrality -- $ideo_pipe,,I often think about the fact that I am [Political Identity],cent_iden_4,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I often think about the fact that I am [Political Identity],,
cent_iden_5,#N/A,,Identity Centrality -- American,,I often think about the fact that I am [American],cent_iden_5,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I often think about the fact that I am [American],,
cent_iden_6,#N/A,,Identity Centrality -- $relig_pipe,,I often think about the fact that I am [Religion],cent_iden_6,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,I often think about the fact that I am [Religion],,
V1,#N/A,,Victimhood -- These days the rights of immigrants are more protected than the rights of American citizens.,,These days the rights of immigrants are more protected than the rights of American citizens.,V1,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,These days the rights of immigrants are more protected than the rights of American citizens.,,
V2,#N/A,,Victimhood -- These days it seems the public concern for the rights of Muslims is greater than the concern for the rights of Christians.,,These days it seems the public concern for the rights of Muslims is greater than the concern for the rights of Christians.,V2,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,These days it seems the public concern for the rights of Muslims is greater than the concern for the rights of Christians.,,
V3,#N/A,,Victimhood -- These days it seems the rights of $gender_opp are more protected than the rights of $gender_self.,,These days it seems the rights of [...gender_self...] are more protected than the rights of [...gender_own...],V3,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,These days it seems the rights of [...gender_self...] are more protected than the rights of [...gender_own...],,
V4,#N/A,,Victimhood -- These days it seems the rights of Black and Brown people are more protected than the rights of White people.,,These days it seems the rights of Black and Brown people are more protected than the rights of White people,V4,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,These days it seems the rights of Black and Brown people are more protected than the rights of White people,,
V5,#N/A,,Victimhood -- These days it seems the rights of Black Lives Matter protestors and activists are more protected than the rights of the police.,,These days it seems the rights of Black Lives Matter are more protected than the rights of the police,V5,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,These days it seems the rights of Black Lives Matter are more protected than the rights of the police,,
priv_iden_1,#N/A,,Identity Privilege -- $gender_pipe3 start off at an advantage compared to others.,,[Own Gender] start off at an advantage compared to others.,priv_iden_1,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Gender] start off at an advantage compared to others.,,
priv_iden_2,#N/A,,Identity Privilege -- $race_pipe3 start off at an advantage compared to others.,,[Own Race] start off at an advantage compared to others.,priv_iden_2,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Race] start off at an advantage compared to others.,,
priv_iden_3,#N/A,,Identity Privilege -- $party_pipe3 start off at an advantage compared to others.,,[Own Political Party] start off at an advantage compared to others.,priv_iden_3,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Political Party] start off at an advantage compared to others.,,
priv_iden_4,#N/A,,Identity Privilege -- $ideo_pipe3 start off at an advantage compared to others.,,[Own Political Identity] start off at an advantage compared to others.,priv_iden_4,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Political Identity] start off at an advantage compared to others.,,
priv_iden_5,#N/A,,Identity Privilege -- Americans start off at an advantage compared to others.,,[Americans] start off at an advantage compared to others.,priv_iden_5,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Americans] start off at an advantage compared to others.,,
priv_iden_6,#N/A,,Identity Privilege -- $relig_pipe3 start off at an advantage compared to others.,,[Own Religion] start off at an advantage compared to others.,priv_iden_6,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Religion] start off at an advantage compared to others.,,
press_iden_1,#N/A,,Identity In-group pressure -- $gender_pipe3 pressure each other to think and talk a certain way about issues that affect people like us.,,[Own Gender] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,press_iden_1,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Gender] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,,
press_iden_2,#N/A,,Identity In-group pressure -- $race_pipe3 pressure each other to think and talk a certain way about issues that affect people like us.,,[Own Race] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,press_iden_2,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Race] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,,
press_iden_3,#N/A,,Identity In-group pressure -- $party_pipe3 pressure each other to think and talk a certain way about issues that affect people like us.,,[Own Political Party] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,press_iden_3,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Political Party] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,,
press_iden_4,#N/A,,Identity In-group pressure -- $ideo_pipe3 pressure each other to think and talk a certain way about issues that affect people like us.,,[Own Political Identity] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,press_iden_4,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Own Political Identity] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,,
press_iden_5,#N/A,,Identity In-group pressure -- Americans pressure each other to think and talk a certain way about issues that affect people like us.,,[Americans] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,press_iden_5,Include,Yes,1,4,5,7,2,% Slightly-Strongly Agree,[Americans] pressure each other to only think a certain way and talk a certain way about issues that affect people like us.,,
